source,title,doi,pii,authors,container_title,published,openaccess,url,abstract
sage,"Support for generative artificial intelligence as a predictor of middle leaders’ generative artificial intelligence self-efficacy, valuing, and integration in school leadership work",10.1177/17411432251361251,,Izhak Berkovich; Ori Eyal,Educational Management Administration &amp; Leadership,2025,,https://journals.sagepub.com/doi/pdf/10.1177/17411432251361251,"<jats:p>The research explored the role of organisational support for generative artificial intelligence (GenAI) in predicting middle leaders’ GenAI integration in school leadership work, with a focus on GenAI self-efficacy and valuing as mediators of that effect. The study was based on social cognition theory and a sample of 277 Israeli middle leaders from public elementary and secondary schools. The data were analysed using SPSS and the PROCESS macro. The findings indicate that support for GenAI positively influences both GenAI self-efficacy and valuing but only GenAI self-efficacy emerged as a significant mediator. The results expand the limited empirical scholarship on AI in school leadership, most of which is non-empirical. The results suggest that middle leaders’ confidence in their ability to use GenAI plays a critical role in their engagement with the technology and that organisational support helps promote GenAI adoption. Middle leaders’ GenAI self-efficacy was shown to play a key role in channelling the beneficial effect of school support on integration in practice. The results and their implications are discussed.</jats:p>"
sage,Aclima: How to Responsibly Use Generative Artificial Intelligence (AI) to Build a Green Business,10.4135/9781071959046,,Joachim Timlon,,2025,,,
sage,Evaluating public sector employee perceptions towards artificial intelligence and generative artificial intelligence integration,10.1177/01655515241293775,,Luca Giraldi; Luca Rossi; Edyta Rudawska,Journal of Information Science,2024,,https://journals.sagepub.com/doi/pdf/10.1177/01655515241293775,"<jats:p> This study investigates the emerging field of innovative technology applications for public usage, focusing on employee perspectives. The research employs a questionnaire-based approach, collecting responses from 439 participants and examining demographics, technological proficiency, utility perceptions, personal data concerns, attitudes towards artificial intelligence and generative artificial intelligence, and willingness to endorse technology adoption. The data analysis minimises discrepancies between predicted and actual values through multiple linear regression. In addition, statistical methods such as Spearman’s ρ, the Wilcoxon–Mann–Whitney test and chi-square statistics are employed to consolidate the findings, ensuring the thoroughness and validity of the research process. The results indicate a positive inclination among participants to perceive artificial intelligence as augmentative rather than a replacement in public usage contexts. The research’s originality lies in the unique contribution of employees to technology adoption and strategic knowledge asset renewal for the management in the public domain. </jats:p>"
sage,Rina Chitooran Discusses Strengthening Studies Using Generative AI,10.4135/9781036229313.n5,,,Becoming Ethical Researchers in the Age of Artificial Intelligence,2025,,,
sage,Rina Chitooran Discusses Ethically Using Generative AI in Research,10.4135/9781036229313.n4,,,Becoming Ethical Researchers in the Age of Artificial Intelligence,2025,,,
sage,Rina Chitooran Discusses Using Generative AI to Minimize Bias in Research,10.4135/9781036229313.n6,,,Becoming Ethical Researchers in the Age of Artificial Intelligence,2025,,,
sage,Adaptive Cancer Therapy in the Age of Generative Artificial Intelligence,10.1177/10732748241264704,,Youcef Derbal,Cancer Control,2024,,https://journals.sagepub.com/doi/pdf/10.1177/10732748241264704,"<jats:p> Therapeutic resistance is a major challenge facing the design of effective cancer treatments. Adaptive cancer therapy is in principle the most viable approach to manage cancer’s adaptive dynamics through drug combinations with dose timing and modulation. However, there are numerous open issues facing the clinical success of adaptive therapy. Chief among these issues is the feasibility of real-time predictions of treatment response which represent a bedrock requirement of adaptive therapy. Generative artificial intelligence has the potential to learn prediction models of treatment response from clinical, molecular, and radiomics data about patients and their treatments. The article explores this potential through a proposed integration model of Generative Pre-Trained Transformers (GPTs) in a closed loop with adaptive treatments to predict the trajectories of disease progression. The conceptual model and the challenges facing its realization are discussed in the broader context of artificial intelligence integration in oncology. </jats:p>"
sage,Generative Artificial Intelligence and Generative Conversations: Contrasting Futures for Organizational Change?,10.1177/00218863241232412,,Cliff Oswick,The Journal of Applied Behavioral Science,2024,,https://journals.sagepub.com/doi/pdf/10.1177/00218863241232412,"<jats:p> To what extent are “generative AI” (as a machine-based form of decision-making) and “generative dialogue” (as a human-based form of decision-making) complimentary or competing? What takes precedence in generative change processes? More fundamentally, should generative artificial intelligence (AI) processes assist human decision-making or should human processes assist generative AI decision-making? The possible implications of these questions are explored. Moreover, it is posited that as generative AI evolves and gains more traction in organizational change initiatives, it is important that it is deployed in ways that support generative conversations rather than ways that undermine or replace them. </jats:p>"
sage,Digital citizens: Ensuring responsible and ethical generative artificial intelligence use,10.3233/wor-236004,,Karen Jacobs,Work,2023,,https://content.iospress.com/download?id=10.3233/WOR-236004,
sage,The development of policies on generative artificial intelligence in UK universities,10.1177/03400352251333796,,Thomas D Wilson,IFLA Journal,2025,,https://journals.sagepub.com/doi/pdf/10.1177/03400352251333796,"<jats:p>Generative AI has seen rapid development and adoption in educational settings, presenting both benefits and challenges for universities. This paper examines the response of UK universities, particularly the Russell Group of research-led universities, in developing policies and guidance on the use of generative AI. The analysis covers the implementation of the Russell Group's principles across member institutions, addressing areas such as academic integrity, assessment practices, student use, and guidance for staff. It also explores the varying levels of policy development at non-Russell Group universities, finding that some institutions may struggle to find resources for this issue. The paper situates these institutional responses within theoretical frameworks, highlighting how generative AI has disrupted established practices in higher education. It concludes by emphasizing the need for ongoing collaboration, policy development, and responsiveness to student perspectives as universities navigate this technology.</jats:p>"
